Judul,Tanggal,Link
Infografik: Etika Berkomunikasi Digital dengan Dosen,10/02/2021,https://www.unair.ac.id/tips-etika-berkomunikasi-digital/
Infografik: Ada Apa dengan AEE 2021?,08/02/2021,https://www.unair.ac.id/ada-apa-dengan-aee-2021/
Infografik: Jalur Masuk Universitas Airlangga,05/02/2021,https://www.unair.ac.id/jalur-masuk-universitas-airlangga/
"Profil: dr. Muhammad Miftahussurur, M.Kes., Sp.PD-KGEH., Ph.D",04/02/2021,https://www.unair.ac.id/profil-dr-muhammad-miftahussurur-m-kes-sp-pd-kgeh-ph-d/
Infografik: Tips Memilih Jurusan Kata Dosen Psikologi,03/02/2021,https://www.unair.ac.id/tips-memilih-jurusan-kata-dosen-psikologi/
"Profil Alumni: Rr Ayu Maulida Putri, S.H",02/02/2021,https://www.unair.ac.id/profil-rr-ayu-maulida-putri-s-h/
Infografik: Mari Kenali Karakter Bakat dan Minat,02/02/2021,https://www.unair.ac.id/mari-kenali-karakter-bakat-dan-minat/
"Infografik: Perhatikan, Tips Menulis Artikel Ilmiah",29/01/2021,https://www.unair.ac.id/perhatikan-tips-menulis-artikel-ilmiah/
Infografik: Aplikasi Dokter Safe,28/01/2021,https://www.unair.ac.id/aplikasi-dokter-safe/
"Profil: Prof. Dr. Mohammad Nasih, SE., MT., Ak",27/01/2021,https://www.unair.ac.id/profil-prof-dr-mohammad-nasih-se-mt-ak/
Infografik: Cara Menuju UNAIR,26/01/2021,https://www.unair.ac.id/cara-menuju-unair/
Infografik: Pakai Masker Masih 4 Tahun lagi?,25/01/2021,https://www.unair.ac.id/pakai-masker-masih-4-tahun-lagi/
Infografik:  Santet: Hand Sanitizer Sachet,16/08/2021,https://www.unair.ac.id/infografik-santet-hand-sanitizer-sachet/
"Infografik: Normal.in, Aplikasi Penanganan Covid-19",12/08/2021,https://www.unair.ac.id/infografik-normal-in-aplikasi-penanganan-covid-19/
"Infografik: Dr. Santi Martini, MD., M.Kes.",11/08/2021,https://www.unair.ac.id/infografik-dr-santi-martini-md-m-kes/
Infografik: Ragam Penyakit pada Ikan Koi,10/08/2021,https://www.unair.ac.id/infografik-ragam-penyakit-pada-ikan-koi/
Infografik: Skin Care dari Daun Telang,09/08/2021,https://www.unair.ac.id/infografik-skin-care-dari-daun-telang/
Infografik: Tips Isolasi Mandiri untuk Anak-Anak,06/08/2021,https://www.unair.ac.id/infografik-tips-isolasi-mandiri-untuk-anak-anak/
"Infografik:  Prof. Mochammad Amin Alamsjah, Ir., M.Si., Ph.D.",04/08/2021,https://www.unair.ac.id/infografik-prof-mochammad-amin-alamsjah-ir-m-si-ph-d/
Infografik: Fakta Isu Makanan & Minuman Pencegah Covid-19,03/08/2021,https://www.unair.ac.id/infografik-fakta-isumakanan-minuman-pencegah-covid-19/
Infografik: Berikut Tips Atasi Insecure,30/07/2021,https://www.unair.ac.id/infografik-berikut-tips-atasi-insecure/
Infografik: Tanam Mangrove di Pulau Bawean,29/07/2021,https://www.unair.ac.id/infografik-tanam-mangrove-di-pulau-bawean/
"Infografik: Prof. Dr. Budi Santoso, dr., Sp.OG (K)",28/07/2021,https://www.unair.ac.id/infografik-prof-dr-budi-santoso-dr-sp-og-k/
Infografik: Masker Antibakteri dari Limbah Udang,27/07/2021,https://www.unair.ac.id/infografik-masker-antibakteri-dari-limbah-udang/
Infografik: Vaksinasi Civitas Akademika UNAIR,26/07/2021,https://www.unair.ac.id/infografik-vaksinasi-civitas-akademika-unair/
Infografik: Tips Isolasi di Rumah oleh Gubes Kedokteran,26/07/2021,https://www.unair.ac.id/infografik-tips-isolasi-di-rumah-oleh-gubes-kedokteran/
Infografik: Tips Kelola Masker Bekas dari Dokter Mikrobiologi,23/07/2021,https://www.unair.ac.id/infografik-tips-kelola-masker-bekas-dari-pakar-mikrobiologi/
Infografik: Wisudawan Berprestasi Periode Juni 2021 UNAIR,22/07/2021,https://www.unair.ac.id/infografik-wisudawan-berprestasi-periode-juni-2021-unair/
"Infografik: Prof. Dr. Suryanto, M.Si.",21/07/2021,https://www.unair.ac.id/infografik-prof-dr-suryanto-m-si/
Infografik: Wisudawan Terbaik Periode Juni 2021 UNAIR,20/07/2021,https://www.unair.ac.id/infografik-wisudawan-terbaik-periode-juni-2021-unair/
Infografik: Alat Deteksi Kebohongan Menangi IICYMS 2021,19/07/2021,https://www.unair.ac.id/infografik-alat-deteksi-kebohongan-menangi-iicyms-2021/
Infografik: FK UNAIR Berprestasi di IMEDIST 2021 Malaysia,16/07/2021,https://www.unair.ac.id/infografik-prestasi-tim-fk-unair-di-imedist-malaysia/
"Infografik: Prof. Dr. Purnawan Basundoro, S.S., M.Hum.",14/07/2021,https://www.unair.ac.id/infografik-prof-dr-purnawan-basundoro-s-s-m-hum/
Infografik: Museum Etnografi FISIP UNAIR,13/07/2021,https://www.unair.ac.id/infografik-museum-etnografi-fisip-unair/
Infografik: Khofifah Terpilih Jadi Ketua IKA UA,12/07/2021,https://www.unair.ac.id/infografik-khofifah-terpilih-jadi-ketua-ika-ua/
Lomba Fotografi dan Video UNAIR Berhadiah Jutaan Rupiah,06/07/2021,https://www.unair.ac.id/lomba-fotografi-dan-video-unair-berhadiah-jutaan-rupiah/
