name,price
"War Thunder - Leopard 2A4 Bundle (English, Japanese)","Rp 414,500"
"War Thunder - US Starter Bundle (English, Japanese)","Rp 69,000"
"F1® 22  PS5™ (Simplified Chinese, English, Japanese)","Rp 1,009,000"
Kruger (English),"Rp 29,000"
Almost My Floor (English),"Rp 69,500"
Squad Killer (English),"Rp 69,000"
"Ghostrunner: Complete Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 440,000"
"Black Wolf PS4 & PS5 (English, Japanese)","Rp 28,700"
"Hourglass (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
"Fobia - St. Dinfna Hotel (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"DNF Duel PS5 (Simplified Chinese, English, Korean, Japanese)","Rp 720,000"
"F1® 22 Champions Edition  PS4™ & PS5™ (Simplified Chinese, English, Japanese)","Rp 1,129,000"
Sixty Words by POWGI PS4 & PS5 (English),"Rp 111,000"
"Deliver Us The Moon PS4 & PS5 (Simplified Chinese, English, Korean, Japanese)","Rp 82,250"
A Winter's Daydream (English),"Rp 34,500"
"MADiSON (Simplified Chinese, English, Korean, Japanese)","Rp 335,300"
Super Perils of Baking PS4 & PS5 (English),"Rp 139,000"
"River City Girls PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 500,000"
"Star Strike Portable (Simplified Chinese, English, Traditional Chinese)",Included
"Ice Cream Surfer PS4 & PS5 (English, Korean, Japanese, Traditional Chinese)","Rp 111,000"
Santa's workshop (English),"Rp 29,000"
"Axiom Verge 2 (Simplified Chinese, English, Japanese)","Rp 279,000"
Xump Jump (English),"Rp 29,000"
Gunducky Industries++ (English),"Rp 15,000"
Sofiya and the Ancient Clan PS4 & PS5 (English),"Rp 111,000"
The Ketchup story (English),"Rp 29,000"
"GigaBash (Simplified Chinese, English, Korean, Malay, Japanese, Traditional Chinese)","Rp 359,250"
"Gigapocalypse (Simplified Chinese, English, Japanese)","Rp 139,000"
Lump Jump (English),"Rp 29,000"
"Outward: The Adventurer Bundle (Simplified Chinese, English, Korean, Japanese)","Rp 289,500"
Gale of Windoria (English),"Rp 198,000"
Surface Rush PS4 & PS5 (English),"Rp 48,300"
"Sword and Fairy Together Forever (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 699,000"
"Sword and Fairy: Together Forever PS4™ & PS5™ (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 429,000"
Quick Mafs (English),"Rp 29,000"
Vump Jump (English),"Rp 29,000"
"Crossout – ""Cleaner"" Starter Bundle (English)","Rp 139,000"
"What Remains of Edith Finch (Simplified Chinese, English, Korean, Japanese)","Rp 279,000"
"LOST EPIC (Simplified Chinese, English, Korean, Japanese)","Rp 228,750"
Square Keeper PS4 & PS5 (English),"Rp 69,000"
The Legend of Heroes: Kuro no Kiseki (Traditional Chinese),"Rp 699,000"
"Path of Titans Standard Founder's Pack (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 429,000"
"Arsonist Heaven PS4 & PS5 (English, Japanese)","Rp 69,000"
Bump Jump (English),"Rp 29,000"
"Endzone - A World Apart (Simplified Chinese, English, Korean, Japanese)","Rp 389,500"
"Absolute Deduction bundle (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,699,000"
"Bright Memory: Infinite (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
"Devastator PS4 & PS5 (English, Japanese, Traditional Chinese)","Rp 97,000"
"DreadOut 2 (Simplified Chinese, English)","Rp 279,000"
"Seduction: A Monk's Fate PS4 & PS5 (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 77,700"
"Severed Steel (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
"Stray (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
echoshift (English),"Rp 139,000"
"LocoRoco Midnight Carnival (English, Korean, Traditional Chinese)","Rp 139,000"
No Heroes Allowed! (English),"Rp 139,000"
Gump Jump (English),"Rp 29,000"
Paradox Error (English),"Rp 69,000"
Escape Academy (English),"Rp 279,000"
"Rayland PS4 & PS5 (English, Traditional Chinese)","Rp 69,000"
"Hellpoint (Simplified Chinese, English, Korean, Japanese)","Rp 143,700"
